NAME,index,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type,dist_to_plaque,dist_to_tau
35340,5889,10095,12886,3028,3865,13months-disease-replicate_1,CA1,CA1-Ex,,119
35342,5890,4732,12890,1419,3867,13months-disease-replicate_1,Oligo,Oligo1,147.0,167
35343,5891,9591,12885,2877,3865,13months-disease-replicate_1,CA1,CA1-Ex,,149
35344,5892,16185,12889,4855,3866,13months-disease-replicate_1,Oligo,Oligo1,,169
35345,5893,9349,12881,2804,3864,13months-disease-replicate_1,Inh,Lamp5,,151
35346,5894,15560,12888,4668,3866,13months-disease-replicate_1,Micro,Micro1,165.0,151
35347,5895,16945,12900,5083,3870,13months-disease-replicate_1,Oligo,Oligo1,,119
35348,5896,662,12900,198,3870,13months-disease-replicate_1,Oligo,Oligo1,,
35349,5897,4458,12894,1337,3868,13months-disease-replicate_1,Oligo,Oligo3,158.0,151
35350,5898,4665,12891,1399,3867,13months-disease-replicate_1,Oligo,Oligo2,146.0,151
35351,5899,11261,12889,3378,3866,13months-disease-replicate_1,CA1,CA1-Ex,,173
35352,5900,9054,12909,2716,3872,13months-disease-replicate_1,CA1,CA1-Ex,92.0,105
35353,5901,9188,12888,2756,3866,13months-disease-replicate_1,CA1,CA1-Ex,132.0,170
35354,5902,20486,12913,6145,3873,13months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
35356,5903,18851,12915,5655,3874,13months-disease-replicate_1,Oligo,Oligo1,,
35357,5904,10405,12918,3121,3875,13months-disease-replicate_1,CA1,CA1-Ex,,141
35358,5905,10666,12914,3199,3874,13months-disease-replicate_1,CA1,CA1-Ex,,150
35359,5906,8811,12910,2643,3873,13months-disease-replicate_1,CA1,CA1-Ex,19.0,135
35360,5907,14647,12916,4394,3874,13months-disease-replicate_1,Oligo,Oligo1,212.0,137
35361,5908,21131,12926,6339,3877,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35363,5909,4804,12913,1441,3873,13months-disease-replicate_1,Oligo,Oligo3,145.0,157
35364,5910,9990,12918,2997,3875,13months-disease-replicate_1,CA1,CA1-Ex,,150
35365,5911,8516,12920,2554,3876,13months-disease-replicate_1,Endo,Endo1,70.0,176
35366,5912,16126,12929,4837,3878,13months-disease-replicate_1,Astro,Astro2,,211
35367,5913,17678,12934,5303,3880,13months-disease-replicate_1,Oligo,Oligo1,,207
35368,5914,2837,12931,851,3879,13months-disease-replicate_1,Oligo,Oligo2,,
35369,5915,18641,12975,5592,3892,13months-disease-replicate_1,CTX-Ex,CTX-Ex3,,
